O1_NUMORD,O1_NUMMOD,O1_FECORD,O1_DESCRP,O1_NUMPIE,O1_CANORD,O1_NOMTEL,O1_NUMCLI,O1_FECINI,O1_FECFIN,O1_INDINI,O1_INDFIN,O1_CLAAUT,O1_CLAGRA,O1_CLACOR,O1_CANCOR,O1_CLAMAQ,O1_PERMAQ,O1_TALLER,O1_FECMAQ,O1_CLAARM,O1_CANARM,O1_CANINC,O1_CLATER,O1_CANTER,O1_CLAEMB,O1_CLADET,O1_CONDET,O1_CLACAN,O1_CONCAN,O1_CLACOM,O1_LINRAP,O1_COSTOO
301,1015,14/02/2006,BLUSA MANGA CORTA,1,144,MANTA CON LUREX 101,991,01/03/2006,31/03/2006,20060301,20060331,S,S,S,144,S,ERNESTO,,31/03/2006,S,144.0,,S,144.0,N,N,,N,,N,N,59.41
302,1021,14/02/2006,BLUSA MANGA CORTA,1,144,POP.HILO/BOAL MAQUINILLA,991,01/03/2006,31/03/2006,20060301,20060331,S,S,S,144,S,PEDRO CRUZ,,26/04/2006,S,144.0,,S,144.0,N,N,,N,,N,N,72.89
303,1027,14/02/2006,BLUSA MANGA CORTA,1,144,POPELINA HILO,991,01/03/2006,31/03/2006,20060301,20060331,S,S,S,144,S,LAURA,,02/03/2006,S,144.0,,S,144.0,N,N,,N,,N,N,72.91
304,1041,14/02/2006,BLUSA MANGA CORTA,1,144,POPELINA HILO,991,01/03/2006,31/03/2006,20060301,20060331,S,S,S,144,S,REBECA,,03/03/2006,S,144.0,,S,144.0,N,N,,N,,N,N,72.77
305,1068,14/02/2006,BLUSON,1,144,BOAL EST. BURN OUT 102,991,01/03/2006,31/03/2006,20060301,20060331,S,S,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
306,1082,14/02/2006,BLUSA MANGA CORTA,1,198,POP.HILO/BOAL BOR. L PLAT,991,01/03/2006,31/03/2006,20060301,20060331,S,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
307,1086,14/02/2006,BLUSA MANGA CORTA,1,144,POPELINA HILO,991,01/03/2006,31/03/2006,20060301,20060331,N,S,N,0,N,,,,N,0.0,,N,0.0,N,S,ESPERAR AUTORIZACION,S,FUERA DE TIEMPO,N,N,0.00
308,1089,14/02/2006,BLUSA MANGA CORTA,1,144,POP.HILO/BOAL BOR. L ORO,991,01/03/2006,31/03/2006,20060301,20060331,S,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
309,1090,14/02/2006,BLUSA MANGA CORTA,1,198,POP.HILO/BOAL BOR. L PLAT,991,01/03/2006,31/03/2006,20060301,20060331,N,S,N,0,N,,,,N,0.0,,N,0.0,N,S,ESPERAR AUTORIZACION,S,FUERA DE TIEMPO,N,N,0.00
310,1091,14/02/2006,BLUSA MANGA CORTA,1,144,POP.HILO/BOAL BOR. L ORO,991,01/03/2006,31/03/2006,20060301,20060331,S,S,S,144,S,LEONOR,,29/03/2006,S,144.0,,S,144.0,N,N,,N,,N,N,73.96
311,1106,14/02/2006,BLUSA MANGA CORTA,1,144,BOAL EST. BURN OUT 101,991,01/03/2006,31/03/2006,20060301,20060331,S,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
312,1110,14/02/2006,BLUSA MANGA CORTA,1,144,POPELINA HILO,991,01/03/2006,31/03/2006,20060301,20060331,S,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
313,2253,14/02/2006,VESTIDO SIN MANGAS,1,156,BOAL BORD. BOMBAZZA 105,991,01/03/2006,31/03/2006,20060301,20060331,S,S,S,156,S,ROSARIO,,15/03/2006,S,156.0,,S,157.0,N,N,,N,,N,N,126.72
314,2254,14/02/2006,VESTIDO CORTO TIRANTES,1,144,POPELINA HILO,991,01/03/2006,31/03/2006,20060301,20060331,S,S,S,138,S,CLAUDIA,,04/04/2006,S,138.0,,S,138.0,N,N,,N,,N,N,111.46
315,2262,14/02/2006,VESTIDO SIN MANGAS,1,144,POP.HILO/BOAL MAQUINILLA,991,01/03/2006,31/03/2006,20060301,20060331,S,S,S,144,S,EDUARDO,,24/03/2006,S,144.0,,S,144.0,N,N,,N,,N,N,140.96
316,14121,14/02/2006,FALDA,1,144,POP.HILO/BOAL MAQUINILLA,991,01/03/2006,31/03/2006,20060301,20060331,S,S,S,144,S,TITA,,22/03/2006,S,144.0,,S,143.0,N,N,,N,,N,N,111.45
317,14160,14/02/2006,PANTALON,1,192,GABARDINA ST. PACIFICO,991,01/03/2006,31/03/2006,20060301,20060331,S,S,S,192,S,JOAQUIN,,31/03/2006,S,192.0,,S,192.0,N,N,,N,,N,N,129.30
318,14293,14/02/2006,PANTALON,1,144,GABARDINA ST. PACIFICO,991,01/03/2006,31/03/2006,20060301,20060331,S,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
319,14174,14/02/2006,PANTALON,1,144,GABARDINA ST. PACIFICO,991,01/03/2006,31/03/2006,20060301,20060331,S,S,S,144,S,ELIZABETH,,10/03/2006,S,144.0,,S,144.0,N,N,,N,,N,N,116.38
